fecha,meteo,tipo_accidente,lesividad,distrito,direccion
2017-01-01 06:00:00,Despejado,Imprudencia,Grave,ARGANZUELA                    ,CALLE DE TOLEDO NUM                                                                                  120
2017-01-02 21:00:00,Despejado,Caida,Leve,SAN BLAS                      ,CALLE DE MEQUINENZA NUM                                                                              14
2017-01-03 19:00:00,Despejado,Caida,Leve,CENTRO                        ,CALLE DE LA ESCALINATA NUM                                                                           8
2017-01-04 21:00:00,Niebla,Caida,Leve,CENTRO                        ,CALLE DE LA CAVA DE SAN MIGUEL NUM                                                                   13
2017-01-05 08:00:00,Niebla,Caida,Leve,MONCLOA-ARAVACA               ,PUENTE DE LOS FRANCESES
2017-01-05 12:00:00,Niebla,Caida,Leve,LATINA                        ,CARRETERA DE BOADILLA DEL MONTE NUM                                                                  27
2017-01-05 14:00:00,Despejado,Imprudencia,Leve,TETUAN                        ,CALLE DE LA INFANTA MERCEDES NUM                                                                     27
2017-01-05 17:00:00,Despejado,Caida,Leve,FUENCARRAL-EL PARDO           ,CALLE DE ANTONIO DE CABEZON NUM                                                                      91
2017-01-06 11:00:00,Despejado,Colision,Leve,CENTRO                        ,CUESTA DE LA VEGA - PASEO DE LA CIUDAD DE PLASENCIA
2017-01-06 17:00:00,Despejado,Colision,Leve,SAN BLAS                      ,CALLE DE AREVALO LARA - CALLE DE TAMPICO
2017-01-07 00:00:00,Despejado,Caida,Leve,CENTRO                        ,CALLE DE SAN FELIPE NERI - PLAZA DE LOS HERRADORES
2017-01-07 11:00:00,Despejado,Colision,Leve,BARAJAS                       ,CALLE DE LA RIBERA DEL SENA - GLORIETA DE LUXEMBURGO
2017-01-07 14:00:00,Despejado,Caida,Leve,FUENCARRAL-EL PARDO           ,CALLE DE FREUD - CALLE DE MARX
2017-01-08 13:00:00,Despejado,Caida,Leve,ARGANZUELA                    ,RONDA DE TOLEDO NUM                                                                                  14
2017-01-08 20:00:00,Despejado,Caida,Grave,CENTRO                        ,CALLE DE SEGOVIA NUM                                                                                 16
2017-01-09 14:00:00,Despejado,Caida,Leve,TETUAN                        ,CALLE DE BRAVO MURILLO NUM                                                                           101
2017-01-09 19:00:00,Despejado,Colision,Leve,MONCLOA-ARAVACA               ,CALLE DE LA GOLONDRINA - CALLE DE VALTRAVIESO
2017-01-09 23:00:00,Despejado,Colision,Leve,TETUAN                        ,CALLE DE LA INFANTA MERCEDES - CALLE DE SOR ANGELA DE LA CRUZ
2017-01-10 14:00:00,Despejado,Caida,Leve,SAN BLAS                      ,CALLE DE LA REPUBLICA CHECA NUM                                                                      1
2017-01-10 18:00:00,Despejado,Caida,Leve,RETIRO                        ,CALLE DE MONTALBAN NUM                                                                               1
2017-01-10 19:00:00,Despejado,Caida,Leve,TETUAN                        ,CALLE DE BRAVO MURILLO NUM                                                                           243
2017-01-12 17:00:00,Despejado,Colision,Grave,CENTRO                        ,CALLE  GRAN VIA NUM                                                                                  22
2017-01-12 18:00:00,Despejado,Colision,Leve,RETIRO                        ,CALLE DE ALCALA NUM                                                                                  52
2017-01-12 18:00:00,Despejado,Colision,Moderada,RETIRO                        ,CALLE DE ALCALA NUM                                                                                  52
2017-01-12 20:00:00,Despejado,Caida,Moderada,FUENCARRAL-EL PARDO           ,CALLE DE GRAÑON - CALLE DE SAN JUAN DE ORTEGA
2017-01-13 09:00:00,Despejado,Colision,Leve,VICALVARO                     ,AVENIDA DE LA DEMOCRACIA - BULEVAR DE JOSE PRAT
2017-01-13 17:00:00,Despejado,Caida,Leve,RETIRO                        ,CALLE DE ESPALTER NUM                                                                                3
2017-01-15 11:00:00,Despejado,Imprudencia,Moderada,ARGANZUELA                    ,PASEO DE LAS DELICIAS NUM                                                                            89
2017-01-19 20:00:00,Despejado,Caida,Leve,CIUDAD LINEAL                 ,CALLE DE JOSE SILVA - CALLE DE TORRELAGUNA
2017-01-19 20:00:00,Despejado,Colision,Leve,HORTALEZA                     ,AVENIDA DE MANUEL AZAÑA - CARRETERA A LA ESTACION DE HORTALEZA
2017-01-20 14:00:00,Despejado,Caida,Leve,CHAMARTIN                     ,CALLE DE JOAQUIN COSTA NUM                                                                           9
2017-01-20 20:00:00,Despejado,Colision,Leve,CHAMARTIN                     ,PASEO DE LA CASTELLANA NUM                                                                           244
2017-01-21 10:00:00,Despejado,Imprudencia,Leve,CARABANCHEL                   ,CARRIL  ANILLO VERDE CICLISTA KM.                                                                    32000
2017-01-21 20:00:00,Despejado,Caida,Leve,SALAMANCA                     ,CALLE DE GOYA NUM                                                                                    71
