fecha,meteo,tipo_accidente,lesividad,distrito,direccion,horario,dia,festividad,lon,lat
2019-01-01 14:00:00,Despejado,Colision,Moderada,SALAMANCA,CALLE CASTELLO / CALLE DON RAMON DE LA CRUZ Madrid,Tarde,2019-01-01,Festivo,-3.681209,40.4289896
2019-01-02 21:00:00,Despejado,Colision,Grave,HORTALEZA,AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES Madrid,Noche,2019-01-02,Laborable,-3.6545272,40.4669207
2019-01-03 14:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS,CALLE FELIPE ALVAREZ 10 Madrid,Tarde,2019-01-03,Laborable,-3.6234229,40.3819706
2019-01-03 13:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS,AVDA. SANTA EUGENIA / CALLE REAL DE ARGANDA Madrid,Tarde,2019-01-03,Laborable,-3.608275599999999,40.377939
2019-01-03 13:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS,AVDA. SANTA EUGENIA / CALLE REAL DE ARGANDA Madrid,Tarde,2019-01-03,Laborable,-3.608275599999999,40.377939
2019-01-03 10:00:00,Despejado,Caida,Moderada,MONCLOA-ARAVACA,CTRA. DEHESA DE LA VILLA 1 Madrid,Mañana,2019-01-03,Laborable,-3.7207176,40.4581905
2019-01-04 17:00:00,Despejado,Colision,Leve,CHAMARTÍN,CALLE PRADILLO 26 Madrid,Tarde,2019-01-04,Laborable,-3.6733582,40.4486812
2019-01-04 14:00:00,Despejado,Colision,Leve,MORATALAZ,CALLE CAÑON DEL RIO LOBOS 7A Madrid,Tarde,2019-01-04,Laborable,-3.630845399999999,40.4067492
2019-01-07 14:00:00,Despejado,Colision,Leve,FUENCARRAL-EL PARDO,CALLE NUESTRA SEÑORA DE VALVERDE / CALLE DOCTOR JUAN BRAVO Madrid,Tarde,2019-01-07,Festivo,-3.687132,40.4935002
2019-01-08 21:00:00,Despejado,Imprudencia,Leve,ARGANZUELA,CALLE PUERTO DE LA CRUZ VERDE 49 Madrid,Noche,2019-01-08,Laborable,-3.685983199999999,40.3859037
