fecha,dia,year,horario,festividad,tipo_accidente,lesividad,meteo,distrito,direccion,lon,lat
2019-01-01 14:00:00,2019-01-01 00:00:00,2019,Tarde,Festivo,Colision,Moderada,Despejado,SALAMANCA,CALLE CASTELLO / CALLE DON RAMON DE LA CRUZ Madrid,-3.681209,40.4289896
2019-01-02 21:00:00,2019-01-02 00:00:00,2019,Noche,Laborable,Colision,Grave,Despejado,HORTALEZA,AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES Madrid,-3.6545272,40.4669207
2019-01-03 10:00:00,2019-01-03 00:00:00,2019,Mañana,Laborable,Caida,Moderada,Despejado,MONCLOA-ARAVACA,CTRA. DEHESA DE LA VILLA 1 Madrid,-3.7207176,40.4581905
2019-01-08 13:00:00,2019-01-08 00:00:00,2019,Tarde,Laborable,Caida,Moderada,Despejado,FUENCARRAL-EL PARDO,C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE Madrid,-3.6938236,40.5112874
2019-01-09 13:00:00,2019-01-09 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,CENTRO,CALLE GRAN VIA 66 Madrid,-3.7089378,40.4224128
2019-01-10 20:00:00,2019-01-10 00:00:00,2019,Tarde,Laborable,Caida,Moderada,Despejado,ARGANZUELA,PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALLE GASOMETRO Madrid,-3.713856599999999,40.403685
2019-01-11 16:00:00,2019-01-11 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,CENTRO,CALLE GRAN VIA / CALLE SAN BERNARDO Madrid,-3.7078966,40.4215151
2019-01-12 22:00:00,2019-01-12 00:00:00,2019,Noche,Vispera,Imprudencia,Moderada,Despejado,CARABANCHEL,AVDA. POBLADOS / CALLE SECOYA Madrid,-3.74219,40.372737
2019-01-14 20:00:00,2019-01-14 00:00:00,2019,Tarde,Laborable,Caida,Moderada,Despejado,FUENCARRAL-EL PARDO,PASEO. EL PARDO 37 Madrid,-3.6932108,40.41204339999999
2019-01-14 11:00:00,2019-01-14 00:00:00,2019,Mañana,Laborable,Caida,Leve,Despejado,CENTRO,CALLE FLORA 1 Madrid,-3.7075094,40.4180985
2019-01-16 15:00:00,2019-01-16 00:00:00,2019,Tarde,Laborable,Caida,Leve,Despejado,CHAMBERÍ,PLAZA. CONDE DEL VALLE DE SUCHIL 3 Madrid,-3.7077541,40.4304221
2019-01-17 20:00:00,2019-01-17 00:00:00,2019,Tarde,Laborable,Colision,Leve,Despejado,CENTRO,CALLE ARENAL / CALLE DONADOS Madrid,-3.7085565,40.4177835
