,fecha,meteo,tipo_accidente,lesividad,distrito,direccion,horario,dia,festividad,lon,lat
0,2019-01-01 14:00:00,Despejado,Colision,Moderada,SALAMANCA,CALLE CASTELLO / CALLE DON RAMON DE LA CRUZ Madrid,Tarde,2019-01-01,Festivo,,
1,2019-01-02 21:00:00,Despejado,Colision,Grave,HORTALEZA,AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES Madrid,Noche,2019-01-02,Laborable,,
2,2019-01-03 14:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS,CALLE FELIPE ALVAREZ 10 Madrid,Tarde,2019-01-03,Laborable,,
3,2019-01-03 13:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS,AVDA. SANTA EUGENIA / CALLE REAL DE ARGANDA Madrid,Tarde,2019-01-03,Laborable,,
4,2019-01-03 13:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS,AVDA. SANTA EUGENIA / CALLE REAL DE ARGANDA Madrid,Tarde,2019-01-03,Laborable,,
5,2019-01-03 10:00:00,Despejado,Caida,Moderada,MONCLOA-ARAVACA,CTRA. DEHESA DE LA VILLA 1 Madrid,Mañana,2019-01-03,Laborable,,
6,2019-01-04 17:00:00,Despejado,Colision,Leve,CHAMARTÍN,CALLE PRADILLO 26 Madrid,Tarde,2019-01-04,Laborable,,
7,2019-01-04 14:00:00,Despejado,Colision,Leve,MORATALAZ,CALLE CAÑON DEL RIO LOBOS 7A Madrid,Tarde,2019-01-04,Laborable,,
8,2019-01-07 14:00:00,Despejado,Colision,Leve,FUENCARRAL-EL PARDO,CALLE NUESTRA SEÑORA DE VALVERDE / CALLE DOCTOR JUAN BRAVO Madrid,Tarde,2019-01-07,Festivo,,
9,2019-01-08 21:00:00,Despejado,Imprudencia,Leve,ARGANZUELA,CALLE PUERTO DE LA CRUZ VERDE 49 Madrid,Noche,2019-01-08,Laborable,,
10,2019-01-08 21:00:00,Despejado,Imprudencia,Leve,ARGANZUELA,CALLE PUERTO DE LA CRUZ VERDE 49 Madrid,Noche,2019-01-08,Laborable,,
11,2019-01-08 13:00:00,Despejado,Caida,Moderada,FUENCARRAL-EL PARDO,C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE Madrid,Tarde,2019-01-08,Laborable,,
12,2019-01-09 15:00:00,Despejado,Colision,Leve,CARABANCHEL,CALLE ANTONIO DE LEYVA 84 Madrid,Tarde,2019-01-09,Laborable,,
13,2019-01-09 13:00:00,Despejado,Colision,Leve,CENTRO,CALLE GRAN VIA 66 Madrid,Tarde,2019-01-09,Laborable,,
14,2019-01-10 20:00:00,Despejado,Caida,Moderada,ARGANZUELA,PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALLE GASOMETRO Madrid,Tarde,2019-01-10,Laborable,,
15,2019-01-11 16:00:00,Despejado,Colision,Leve,CENTRO,CALLE GRAN VIA / CALLE SAN BERNARDO Madrid,Tarde,2019-01-11,Laborable,,
16,2019-01-12 23:00:00,Despejado,Imprudencia,Leve,LATINA,POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALLE SECOYA Madrid,Noche,2019-01-12,Laborable,,
17,2019-01-12 22:00:00,Despejado,Colision,Leve,CARABANCHEL,CALLE GENERAL RICARDOS / GTA. VALLE DE ORO Madrid,Noche,2019-01-12,Laborable,,
18,2019-01-12 22:00:00,Despejado,Imprudencia,Moderada,CARABANCHEL,AVDA. POBLADOS / CALLE SECOYA Madrid,Noche,2019-01-12,Laborable,,
19,2019-01-12 13:00:00,Despejado,Colision,Leve,VILLA DE VALLECAS,AVDA. ENSANCHE DE VALLECAS 44 Madrid,Tarde,2019-01-12,Laborable,,
20,2019-01-12 13:00:00,Despejado,Colision,Leve,LATINA,CALLE SANCHIDRIAN 13A Madrid,Tarde,2019-01-12,Laborable,,
21,2019-01-14 23:00:00,Despejado,Colision,Leve,CHAMBERÍ,CALLE MIGUEL ANGEL / PASEO. GENERAL MARTINEZ CAMPOS Madrid,Noche,2019-01-14,Laborable,,
22,2019-01-14 20:00:00,Despejado,Caida,Moderada,FUENCARRAL-EL PARDO,PASEO. EL PARDO 37 Madrid,Tarde,2019-01-14,Laborable,,
23,2019-01-14 16:00:00,Despejado,Colision,Leve,CIUDAD LINEAL,CALLE SANTA GENOVEVA / PLAZA. AGUSTIN GONZALEZ Madrid,Tarde,2019-01-14,Laborable,,
24,2019-01-14 11:00:00,Despejado,Caida,Leve,CENTRO,CALLE FLORA 1 Madrid,Mañana,2019-01-14,Laborable,,
25,2019-01-16 15:00:00,Despejado,Caida,Leve,CHAMBERÍ,PLAZA. CONDE DEL VALLE DE SUCHIL 3 Madrid,Tarde,2019-01-16,Laborable,,
26,2019-01-16 09:00:00,Despejado,Colision,Leve,CIUDAD LINEAL,AVDA. DAROCA / CALLE NICOLAS SALMERON Madrid,Mañana,2019-01-16,Laborable,,
27,2019-01-17 20:00:00,Despejado,Colision,Leve,CENTRO,CALLE ARENAL / CALLE DONADOS Madrid,Tarde,2019-01-17,Laborable,,
28,2019-01-17 16:00:00,Despejado,Colision,Leve,CHAMARTÍN,CALLE SERRANO 141 Madrid,Tarde,2019-01-17,Laborable,,
29,2019-01-17 06:00:00,Despejado,Imprudencia,Moderada,RETIRO,CALLE DOCE DE OCTUBRE 26 Madrid,Mañana,2019-01-17,Laborable,,
30,2019-01-18 18:00:00,Despejado,Colision,Leve,SAN BLAS-CANILLEJAS,AVDA. FERMINA SEVILLANO 42 Madrid,Tarde,2019-01-18,Laborable,,
31,2019-01-18 13:00:00,Despejado,Colision,Moderada,VICÁLVARO,CALLE VILLABLANCA 11 Madrid,Tarde,2019-01-18,Laborable,,
32,2019-01-18 08:00:00,Despejado,Caida,Moderada,CENTRO,CALLE GENOVA 2 Madrid,Mañana,2019-01-18,Laborable,,
33,2019-01-19 21:00:00,Lluvia,Colision,Leve,SALAMANCA,PLAZA. INDEPENDENCIA / CALLE ALCALA Madrid,Noche,2019-01-19,Laborable,,
34,2019-01-19 11:00:00,Despejado,Caida,Moderada,FUENCARRAL-EL PARDO,CTRA. EL PARDO A FUENCARRAL Madrid,Mañana,2019-01-19,Laborable,,
35,2019-01-21 17:00:00,Despejado,Colision,Moderada,HORTALEZA,CALLE SAN ENRIQUE DE OSSO 36 Madrid,Tarde,2019-01-21,Laborable,,
36,2019-01-23 16:00:00,Despejado,Colision,Leve,PUENTE DE VALLECAS,AVDA. ALBUFERA 149 Madrid,Tarde,2019-01-23,Laborable,,
37,2019-01-24 20:00:00,Despejado,Otro,Leve,PUENTE DE VALLECAS,AVDA. ALBUFERA / CALLE PUERTO DE CANFRANC Madrid,Tarde,2019-01-24,Laborable,,
38,2019-01-24 11:00:00,Despejado,Imprudencia,Leve,TETUÁN,CALLE BRAVO MURILLO / CALLE PENSAMIENTO Madrid,Mañana,2019-01-24,Laborable,,
39,2019-01-24 11:00:00,Despejado,Imprudencia,Leve,TETUÁN,CALLE BRAVO MURILLO / CALLE PENSAMIENTO Madrid,Mañana,2019-01-24,Laborable,,
40,2019-01-25 09:00:00,Despejado,Colision,Leve,RETIRO,"CALLE ALFONSO XI , CALLE ALCALA Madrid",Mañana,2019-01-25,Laborable,,
41,2019-01-25 04:00:00,Despejado,Colision,Leve,CENTRO,CALLE GRAN VIA 78 Madrid,Noche,2019-01-25,Laborable,,
42,2019-01-26 22:00:00,Despejado,Colision,Leve,SALAMANCA,CALLE MARIA DE MOLINA 60 Madrid,Noche,2019-01-26,Laborable,,
43,2019-01-27 16:00:00,Despejado,Imprudencia,Moderada,CENTRO,CALLE ALCALA 44 Madrid,Tarde,2019-01-27,Festivo,,
44,2019-01-27 16:00:00,Despejado,Imprudencia,Leve,CENTRO,CALLE ALCALA 44 Madrid,Tarde,2019-01-27,Festivo,,
45,2019-01-28 18:00:00,Despejado,Caida,Leve,ARGANZUELA,CALLE MENDEZ ALVARO / CALLE TITAN Madrid,Tarde,2019-01-28,Laborable,,
46,2019-01-29 16:00:00,Lluvia,Caida,Moderada,CENTRO,PASEO. RECOLETOS 23 Madrid,Tarde,2019-01-29,Laborable,,
47,2019-01-30 13:00:00,Despejado,Colision,Moderada,CARABANCHEL,AVDA. CARABANCHEL ALTO 122 Madrid,Tarde,2019-01-30,Laborable,,
48,2019-01-30 12:00:00,Despejado,Imprudencia,Leve,CARABANCHEL,CALLE TOMASA RUIZ 1 Madrid,Mañana,2019-01-30,Laborable,,
49,2019-02-01 14:00:00,Despejado,Colision,Leve,RETIRO,CALLE DOCTOR ESQUERDO / CALLE DOCTOR ESQUERDO Madrid,Tarde,2019-02-01,Laborable,,
50,2019-02-01 02:00:00,Lluvia,Colision,Leve,CHAMBERÍ,CALLE SANTA ENGRACIA / CALLE RIOS ROSAS Madrid,Noche,2019-02-01,Laborable,,
51,2019-02-01 00:00:00,Lluvia,Colision,Leve,SALAMANCA,CALLE FRANCISCO SANTOS / CALLE MARTINEZ IZQUIERDO Madrid,Noche,2019-02-01,Laborable,,
52,2019-02-02 12:00:00,Despejado,Colision,Leve,PUENTE DE VALLECAS,CALLE MARTINEZ DE LA RIVA 4 Madrid,Mañana,2019-02-02,Laborable,,
53,2019-02-02 11:00:00,Despejado,Imprudencia,Leve,USERA,CALLE MARCELO USERA / CALLE MANUEL NOYA Madrid,Mañana,2019-02-02,Laborable,,
54,2019-02-02 11:00:00,Despejado,Imprudencia,Leve,USERA,CALLE MARCELO USERA / CALLE MANUEL NOYA Madrid,Mañana,2019-02-02,Laborable,,
55,2019-02-02 00:00:00,Despejado,Caida,Moderada,SALAMANCA,CALLE MARIA DE MOLINA 18 Madrid,Noche,2019-02-02,Laborable,,
56,2019-02-03 17:00:00,Despejado,Caida,Leve,MONCLOA-ARAVACA,CALLE ALTAMIRANO / PASEO. PINTOR ROSALES Madrid,Tarde,2019-02-03,Festivo,,
57,2019-02-06 20:00:00,Despejado,Colision,Leve,CHAMARTÍN,CALLE AGUSTIN DE FOXA 30 Madrid,Tarde,2019-02-06,Laborable,,
58,2019-02-06 18:00:00,Despejado,Colision,Leve,SALAMANCA,CALLE ALCALA 173 Madrid,Tarde,2019-02-06,Laborable,,
59,2019-02-06 17:00:00,Despejado,Caida,Leve,CENTRO,CALLE GRAN VIA / CALLE ALCALA Madrid,Tarde,2019-02-06,Laborable,,
60,2019-02-06 10:00:00,Despejado,Colision,Moderada,SALAMANCA,CALLE JUAN BRAVO 17 Madrid,Mañana,2019-02-06,Laborable,,
61,2019-02-06 08:00:00,Despejado,Imprudencia,Moderada,FUENCARRAL-EL PARDO,AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA Madrid,Mañana,2019-02-06,Laborable,,
62,2019-02-06 08:00:00,Despejado,Imprudencia,Leve,FUENCARRAL-EL PARDO,AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA Madrid,Mañana,2019-02-06,Laborable,,
63,2019-02-07 19:00:00,Despejado,Caida,Leve,CHAMARTÍN,CALLE PRINCIPE DE VERGARA / GTA. LOPEZ DE HOYOS Madrid,Tarde,2019-02-07,Laborable,,
64,2019-02-07 16:00:00,Despejado,Colision,Leve,CHAMBERÍ,CALLE VALLEHERMOSO / CALLE FERNANDEZ DE LOS RIOS Madrid,Tarde,2019-02-07,Laborable,,
65,2019-02-07 09:00:00,Despejado,Imprudencia,Leve,CHAMARTÍN,CALLE PRADILLO 42 Madrid,Mañana,2019-02-07,Laborable,,
66,2019-02-08 22:00:00,Despejado,Caida,Leve,CENTRO,CALLE ALCALA 13 Madrid,Noche,2019-02-08,Laborable,,
67,2019-02-08 22:00:00,Despejado,Colision,Leve,CENTRO,CALLE MESON DE PAREDES / CALLE JUANELO Madrid,Noche,2019-02-08,Laborable,,
68,2019-02-10 16:00:00,Despejado,Colision,Leve,RETIRO,PASEO. REINA CRISTINA / CALLE ANDRES TORREJON Madrid,Tarde,2019-02-10,Festivo,,
69,2019-02-10 14:00:00,Despejado,Colision,Leve,CHAMARTÍN,CALLE PRINCIPE DE VERGARA 219 Madrid,Tarde,2019-02-10,Festivo,,
70,2019-02-11 16:00:00,Despejado,Colision,Leve,SALAMANCA,CALLE SERRANO 8 Madrid,Tarde,2019-02-11,Laborable,,
71,2019-02-11 14:00:00,Despejado,Colision,Moderada,SALAMANCA,CALLE ALCALA 101 Madrid,Tarde,2019-02-11,Laborable,,
72,2019-02-11 09:00:00,Despejado,Colision,Leve,CHAMBERÍ,CALLE MIGUEL ANGEL 29 Madrid,Mañana,2019-02-11,Laborable,,
73,2019-02-12 22:00:00,Despejado,Colision,Moderada,CENTRO,PASEO. PRADO 2 Madrid,Noche,2019-02-12,Laborable,,
74,2019-02-12 19:00:00,Despejado,Colision,Leve,CHAMBERÍ,GTA. QUEVEDO / CALLE SAN BERNARDO Madrid,Tarde,2019-02-12,Laborable,,
75,2019-02-13 18:00:00,Despejado,Imprudencia,Moderada,HORTALEZA,CALLE SILVANO / CALLE FRANCISCO MOSQUEDA Madrid,Tarde,2019-02-13,Laborable,,
76,2019-02-13 18:00:00,Despejado,Imprudencia,Leve,HORTALEZA,CALLE SILVANO / CALLE FRANCISCO MOSQUEDA Madrid,Tarde,2019-02-13,Laborable,,
77,2019-02-13 14:00:00,Despejado,Colision,Moderada,SALAMANCA,CALLE CONDE DE PEÑALVER 38 Madrid,Tarde,2019-02-13,Laborable,,
78,2019-02-14 20:00:00,Despejado,Imprudencia,Leve,CHAMBERÍ,CALLE SANTA ENGRACIA 6 Madrid,Tarde,2019-02-14,Laborable,,
79,2019-02-14 20:00:00,Despejado,Imprudencia,Leve,CHAMBERÍ,CALLE SANTA ENGRACIA 6 Madrid,Tarde,2019-02-14,Laborable,,
80,2019-02-14 18:00:00,Despejado,Caida,Leve,RETIRO,AVDA. MENENDEZ PELAYO 38 Madrid,Tarde,2019-02-14,Laborable,,
81,2019-02-14 18:00:00,Despejado,Colision,Leve,MORATALAZ,AUTOV. M-40 CON AVDA. DOCTOR GARCIA TAPIA Madrid,Tarde,2019-02-14,Laborable,,
82,2019-02-14 14:00:00,Despejado,Colision,Leve,RETIRO,PASEO. INFANTA ISABEL 17 Madrid,Tarde,2019-02-14,Laborable,,
83,2019-02-15 14:00:00,Despejado,Caida,Leve,RETIRO,GTA. ANGEL CAIDO 4 Madrid,Tarde,2019-02-15,Laborable,,
84,2019-02-16 20:00:00,Despejado,Caida,Leve,CARABANCHEL,CALLE JOAQUIN TURINA 31 Madrid,Tarde,2019-02-16,Laborable,,
85,2019-02-16 17:00:00,Despejado,Caida,Moderada,ARGANZUELA,PASEO. CHOPERA 2 Madrid,Tarde,2019-02-16,Laborable,,
86,2019-02-16 14:00:00,Despejado,Colision,Leve,CENTRO,RONDA DE VALENCIA CON GLORIETA DE EMBAJADORES Madrid,Tarde,2019-02-16,Laborable,,
87,2019-02-17 09:00:00,Despejado,Colision,Grave,CARABANCHEL,AVDA. POBLADOS / CALLE ANTONIO ROMERO Madrid,Mañana,2019-02-17,Festivo,,
88,2019-02-19 12:00:00,Despejado,Colision,Leve,LATINA,CALLE IGLESIAS EXTRAMUROS / AVDA. PESETA Madrid,Mañana,2019-02-19,Laborable,,
89,2019-02-20 10:00:00,Despejado,Colision,Leve,PUENTE DE VALLECAS,CALLE MANCHA / AVDA. ENTREVIAS Madrid,Mañana,2019-02-20,Laborable,,
90,2019-02-20 08:00:00,Despejado,Caida,Leve,CENTRO,CALLE ATOCHA 104 Madrid,Mañana,2019-02-20,Laborable,,
91,2019-02-22 20:00:00,Despejado,Colision,Moderada,CARABANCHEL,CALLE GENERAL RICARDOS 18 Madrid,Tarde,2019-02-22,Laborable,,
92,2019-02-23 21:00:00,Despejado,Colision,Leve,MONCLOA-ARAVACA,PLAZA. ESPAÑA 16 Madrid,Noche,2019-02-23,Laborable,,
93,2019-02-23 11:00:00,Despejado,Caida,Leve,ARGANZUELA,CALLE PARROCO EUSEBIO CUENCA 46 Madrid,Mañana,2019-02-23,Laborable,,
94,2019-02-25 17:00:00,Despejado,Caida,Moderada,CENTRO,CALLE ESPARTEROS 12 Madrid,Tarde,2019-02-25,Laborable,,
95,2019-02-27 20:00:00,Despejado,Colision,Leve,LATINA,CALLE MELILOTO / CALLE NOPALERA Madrid,Tarde,2019-02-27,Laborable,,
96,2019-02-27 19:00:00,Despejado,Colision,Leve,CHAMBERÍ,PASEO. GENERAL MARTINEZ CAMPOS / CALLE MODESTO LAFUENTE Madrid,Tarde,2019-02-27,Laborable,,
97,2019-02-27 10:00:00,Despejado,Caida,Leve,RETIRO,PASEO. FERNAN NUÑEZ / PASEO. VENEZUELA Madrid,Mañana,2019-02-27,Laborable,,
98,2019-02-28 09:00:00,Despejado,Colision,Leve,BARAJAS,GTA. SINTRA / CALLE VIA DE DUBLIN Madrid,Mañana,2019-02-28,Laborable,,
99,2019-02-28 08:00:00,Despejado,Caida,Leve,CHAMBERÍ,PASEO. CASTELLANA 29 Madrid,Mañana,2019-02-28,Laborable,,
100,2019-03-01 21:00:00,Despejado,Colision,Leve,RETIRO,PASEO. PRADO 13 Madrid,Noche,2019-03-01,Laborable,,
