NMT; Año; Mes; Día; Tipo; LAeq; LAS01; LAS10; LAS50; LAS90; LAS99
001; 2019; 012; 10; T; 067.2; 073.8; 070.7; 064.6; 053.9; 045.0 
002; 2019; 012; 10; T; 070.0; 076.3; 071.8; 068.6; 059.9; 053.7 
003; 2019; 012; 10; T; 062.6; 070.8; 067.1; 057.9; 049.0; 045.2 
004; 2019; 012; 10; T; 062.7; 071.5; 065.3; 060.9; 053.3; 047.3 
005; 2019; 012; 10; T; 060.6; 066.9; 063.2; 058.6; 046.1; 039.9 
006; 2019; 012; 10; T; 071.8; 078.3; 074.9; 068.5; 058.3; 049.5 
008; 2019; 012; 10; T; 066.2; 073.0; 069.6; 064.9; 055.4; 044.9 
010; 2019; 012; 10; T; 066.2; 074.0; 069.5; 061.8; 045.0; 042.2 
011; 2019; 012; 10; T; 067.8; 074.2; 070.8; 066.9; 046.7; 037.7 
012; 2019; 012; 10; T; 063.2; 072.7; 064.8; 060.5; 049.1; 039.8 
013; 2019; 012; 10; T; 062.3; 069.0; 066.7; 055.6; 040.0; 037.8 
014; 2019; 012; 10; T; 064.1; 070.5; 066.1; 062.9; 054.2; 047.3 
016; 2019; 012; 10; T; 062.5; 069.0; 066.1; 060.9; 040.3; 033.9 
017; 2019; 012; 10; T; 056.2; 065.7; 058.8; 051.6; 036.8; 033.5 
018; 2019; 012; 10; T; 055.3; 065.3; 058.0; 050.5; 039.8; 038.7 
019; 2019; 012; 10; T; 059.8; 067.6; 062.9; 056.7; 042.2; 033.3 
020; 2019; 012; 10; T; 060.4; 070.0; 062.9; 057.0; 039.9; 037.3 
024; 2019; 012; 10; T; 045.3; 053.3; 048.0; 043.7; 038.0; 037.1 
025; 2019; 012; 10; T; 067.4; 071.4; 069.6; 067.5; 058.5; 047.4 
026; 2019; 012; 10; T; 061.7; 068.6; 065.6; 059.3; 050.4; 041.2 
027; 2019; 012; 10; T; 062.1; 072.4; 066.5; 054.8; 038.9; 033.0 
028; 2019; 012; 10; T; 068.1; 075.7; 072.5; 063.4; 039.9; 036.3 
029; 2019; 012; 10; T; 058.7; 067.2; 062.4; 053.8; 043.1; 035.3 
030; 2019; 012; 10; T; 061.4; 067.3; 063.5; 058.7; 045.4; 039.5 
031; 2019; 012; 10; T; 061.7; 072.5; 067.0; 048.4; 028.4; 028.0 
047; 2019; 012; 10; T; 053.4; 065.5; 054.5; 047.5; 038.3; 036.5 
048; 2019; 012; 10; T; 062.8; 069.5; 066.3; 061.2; 050.6; 042.2 
050; 2019; 012; 10; T; 067.0; 076.0; 067.9; 064.4; 054.6; 048.5 
054; 2019; 012; 10; T; 061.2; 067.7; 064.5; 059.7; 037.9; 035.5 
055; 2019; 012; 10; T; 056.4; 064.8; 059.9; 051.7; 040.7; 037.8 
086; 2019; 012; 10; T; 058.1; 067.1; 061.9; 054.6; 045.3; 038.6 
001; 2019; 012; 10; D; 068.4; 075.0; 071.2; 067.1; 061.3; 058.6 
002; 2019; 012; 10; D; 070.9; 076.3; 072.3; 069.8; 067.1; 064.0 
003; 2019; 012; 10; D; 065.3; 071.4; 068.7; 064.1; 055.9; 050.5 
004; 2019; 012; 10; D; 064.2; 072.1; 066.7; 062.7; 059.3; 056.2 
005; 2019; 012; 10; D; 062.2; 067.8; 063.9; 060.5; 056.8; 053.6 
006; 2019; 012; 10; D; 073.2; 079.3; 075.7; 071.9; 066.4; 064.3 
008; 2019; 012; 10; D; 067.5; 073.8; 070.2; 066.1; 063.2; 060.4 
010; 2019; 012; 10; D; 067.8; 074.8; 070.9; 064.6; 059.2; 055.2 
011; 2019; 012; 10; D; 069.5; 074.9; 071.5; 068.8; 064.8; 060.0 
012; 2019; 012; 10; D; 064.4; 073.3; 065.9; 062.3; 058.9; 056.4 
013; 2019; 012; 10; D; 065.1; 070.0; 067.3; 065.1; 054.0; 048.0 
014; 2019; 012; 10; D; 065.4; 072.0; 066.8; 064.1; 061.6; 059.3 
016; 2019; 012; 10; D; 064.2; 069.9; 066.8; 063.3; 056.3; 048.2 
017; 2019; 012; 10; D; 058.2; 066.7; 060.2; 054.5; 048.6; 043.4 
018; 2019; 012; 10; D; 057.3; 066.7; 059.5; 053.5; 047.7; 044.1 
019; 2019; 012; 10; D; 061.3; 068.2; 063.9; 058.9; 054.4; 051.6 
020; 2019; 012; 10; D; 062.5; 072.9; 064.1; 059.3; 055.7; 052.2 
024; 2019; 012; 10; D; 046.0; 054.0; 048.5; 044.1; 041.5; 040.2 
025; 2019; 012; 10; D; 068.7; 071.7; 070.0; 068.5; 066.8; 065.1 
026; 2019; 012; 10; D; 063.1; 068.9; 066.4; 061.6; 057.8; 056.1 
027; 2019; 012; 10; D; 063.6; 073.0; 068.1; 057.6; 051.4; 047.0 
028; 2019; 012; 10; D; 070.1; 076.2; 073.5; 068.0; 059.2; 052.7 
029; 2019; 012; 10; D; 060.2; 068.2; 063.2; 056.8; 049.6; 045.6 
030; 2019; 012; 10; D; 063.4; 068.0; 064.2; 060.6; 056.8; 053.5 
031; 2019; 012; 10; D; 063.7; 073.1; 068.9; 056.2; 032.6; 029.4 
047; 2019; 012; 10; D; 054.5; 065.9; 055.6; 049.2; 046.3; 044.5 
048; 2019; 012; 10; D; 064.3; 070.6; 066.9; 063.8; 056.8; 054.2 
050; 2019; 012; 10; D; 068.1; 074.0; 068.5; 065.7; 063.0; 060.5 
054; 2019; 012; 10; D; 062.9; 068.5; 065.3; 061.7; 057.9; 053.5 
055; 2019; 012; 10; D; 058.3; 065.7; 061.4; 054.4; 049.8; 047.1 
